Sensor_ID, Unixtime_UTC, Year_UTC, Month_UTC, Day_UTC, Hour_UTC, Minute, Second, Reading_type, Reading_raw
board, 1625355460, 2021, 7, 3, 23, 37, 40, temp, 18.00
pyran, 1625355470, 2021, 7, 3, 23, 37, 50, bits, 23
pyran, 1625355470, 2021, 7, 3, 23, 37, 50, volt, 0.18
board, 1625355470, 2021, 7, 3, 23, 37, 50, temp, 18.00
pyran, 1625355480, 2021, 7, 3, 23, 38, 0, bits, 22
pyran, 1625355480, 2021, 7, 3, 23, 38, 0, volt, 0.17
board, 1625355480, 2021, 7, 3, 23, 38, 0, temp, 18.00
pyran, 1625355490, 2021, 7, 3, 23, 38, 10, bits, 22
pyran, 1625355490, 2021, 7, 3, 23, 38, 10, volt, 0.17
board, 1625355490, 2021, 7, 3, 23, 38, 10, temp, 18.00
pyran, 1625355500, 2021, 7, 3, 23, 38, 20, bits, 21
pyran, 1625355500, 2021, 7, 3, 23, 38, 20, volt, 0.16
board, 1625355500, 2021, 7, 3, 23, 38, 20, temp, 18.00
pyran, 1625355510, 2021, 7, 3, 23, 38, 30, bits, 21
pyran, 1625355510, 2021, 7, 3, 23, 38, 30, volt, 0.16
board, 1625355510, 2021, 7, 3, 23, 38, 30, temp, 18.00
pyran, 1625355520, 2021, 7, 3, 23, 38, 40, bits, 22
pyran, 1625355520, 2021, 7, 3, 23, 38, 40, volt, 0.17
board, 1625355520, 2021, 7, 3, 23, 38, 40, temp, 18.00
pyran, 1625355530, 2021, 7, 3, 23, 38, 50, bits, 23
pyran, 1625355530, 2021, 7, 3, 23, 38, 50, volt, 0.18
board, 1625355530, 2021, 7, 3, 23, 38, 50, temp, 18.00
pyran, 1625355540, 2021, 7, 3, 23, 39, 0, bits, 23
pyran, 1625355540, 2021, 7, 3, 23, 39, 0, volt, 0.18
board, 1625355540, 2021, 7, 3, 23, 39, 0, temp, 18.00
pyran, 1625355550, 2021, 7, 3, 23, 39, 10, bits, 22
pyran, 1625355550, 2021, 7, 3, 23, 39, 10, volt, 0.17
board, 1625355550, 2021, 7, 3, 23, 39, 10, temp, 18.00
pyran, 1625355560, 2021, 7, 3, 23, 39, 20, bits, 21
pyran, 1625355560, 2021, 7, 3, 23, 39, 20, volt, 0.16
board, 1625355560, 2021, 7, 3, 23, 39, 20, temp, 18.00
pyran, 1625355570, 2021, 7, 3, 23, 39, 30, bits, 21
pyran, 1625355570, 2021, 7, 3, 23, 39, 30, volt, 0.16
board, 1625355570, 2021, 7, 3, 23, 39, 30, temp, 18.00
pyran, 1625355580, 2021, 7, 3, 23, 39, 40, bits, 20
pyran, 1625355580, 2021, 7, 3, 23, 39, 40, volt, 0.16
board, 1625355580, 2021, 7, 3, 23, 39, 40, temp, 18.00
pyran, 1625355590, 2021, 7, 3, 23, 39, 50, bits, 20
pyran, 1625355590, 2021, 7, 3, 23, 39, 50, volt, 0.16
board, 1625355590, 2021, 7, 3, 23, 39, 50, temp, 18.00
pyran, 1625355600, 2021, 7, 3, 23, 40, 0, bits, 20
pyran, 1625355600, 2021, 7, 3, 23, 40, 0, volt, 0.16
board, 1625355600, 2021, 7, 3, 23, 40, 0, temp, 18.00
pyran, 1625355610, 2021, 7, 3, 23, 40, 10, bits, 20
pyran, 1625355610, 2021, 7, 3, 23, 40, 10, volt, 0.16
board, 1625355610, 2021, 7, 3, 23, 40, 10, temp, 18.00
pyran, 1625355620, 2021, 7, 3, 23, 40, 20, bits, 20
pyran, 1625355620, 2021, 7, 3, 23, 40, 20, volt, 0.16
board, 1625355620, 2021, 7, 3, 23, 40, 20, temp, 18.00
pyran, 1625355630, 2021, 7, 3, 23, 40, 30, bits, 19
pyran, 1625355630, 2021, 7, 3, 23, 40, 30, volt, 0.15
board, 1625355630, 2021, 7, 3, 23, 40, 30, temp, 17.75
pyran, 1625355640, 2021, 7, 3, 23, 40, 40, bits, 20
pyran, 1625355640, 2021, 7, 3, 23, 40, 40, volt, 0.16
board, 1625355640, 2021, 7, 3, 23, 40, 40, temp, 18.00
pyran, 1625355650, 2021, 7, 3, 23, 40, 50, bits, 20
pyran, 1625355650, 2021, 7, 3, 23, 40, 50, volt, 0.16
board, 1625355650, 2021, 7, 3, 23, 40, 50, temp, 18.00
pyran, 1625355660, 2021, 7, 3, 23, 41, 0, bits, 20
pyran, 1625355660, 2021, 7, 3, 23, 41, 0, volt, 0.16
board, 1625355660, 2021, 7, 3, 23, 41, 0, temp, 18.00
pyran, 1625355670, 2021, 7, 3, 23, 41, 10, bits, 20
pyran, 1625355670, 2021, 7, 3, 23, 41, 10, volt, 0.16
board, 1625355670, 2021, 7, 3, 23, 41, 10, temp, 17.75
pyran, 1625355680, 2021, 7, 3, 23, 41, 20, bits, 20
pyran, 1625355680, 2021, 7, 3, 23, 41, 20, volt, 0.16
board, 1625355680, 2021, 7, 3, 23, 41, 20, temp, 17.75
pyran, 1625355690, 2021, 7, 3, 23, 41, 30, bits, 20
pyran, 1625355690, 2021, 7, 3, 23, 41, 30, volt, 0.16
board, 1625355690, 2021, 7, 3, 23, 41, 30, temp, 17.75
pyran, 1625355760, 2021, 7, 3, 23, 42, 40, bits, 22
pyran, 1625355760, 2021, 7, 3, 23, 42, 40, volt, 0.17
board, 1625355760, 2021, 7, 3, 23, 42, 40, temp, 17.75
pyran, 1625355770, 2021, 7, 3, 23, 42, 50, bits, 21
pyran, 1625355770, 2021, 7, 3, 23, 42, 50, volt, 0.16
board, 1625355770, 2021, 7, 3, 23, 42, 50, temp, 17.75
pyran, 1625355780, 2021, 7, 3, 23, 43, 0, bits, 21
pyran, 1625355780, 2021, 7, 3, 23, 43, 0, volt, 0.16
board, 1625355780, 2021, 7, 3, 23, 43, 0, temp, 17.75
pyran, 1625355790, 2021, 7, 3, 23, 43, 10, bits, 20
pyran, 1625355790, 2021, 7, 3, 23, 43, 10, volt, 0.16
board, 1625355790, 2021, 7, 3, 23, 43, 10, temp, 17.75
pyran, 1625355800, 2021, 7, 3, 23, 43, 20, bits, 20
pyran, 1625355800, 2021, 7, 3, 23, 43, 20, volt, 0.16
board, 1625355800, 2021, 7, 3, 23, 43, 20, temp, 17.75
pyran, 1625355810, 2021, 7, 3, 23, 43, 30, bits, 20
pyran, 1625355810, 2021, 7, 3, 23, 43, 30, volt, 0.16
board, 1625355810, 2021, 7, 3, 23, 43, 30, temp, 17.75
pyran, 1625355820, 2021, 7, 3, 23, 43, 40, bits, 19
pyran, 1625355820, 2021, 7, 3, 23, 43, 40, volt, 0.15
board, 1625355820, 2021, 7, 3, 23, 43, 40, temp, 17.75
pyran, 1625355830, 2021, 7, 3, 23, 43, 50, bits, 19
pyran, 1625355830, 2021, 7, 3, 23, 43, 50, volt, 0.15
board, 1625355830, 2021, 7, 3, 23, 43, 50, temp, 17.75
pyran, 1625355840, 2021, 7, 3, 23, 44, 0, bits, 18
pyran, 1625355840, 2021, 7, 3, 23, 44, 0, volt, 0.14
board, 1625355840, 2021, 7, 3, 23, 44, 0, temp, 17.75
pyran, 1625355850, 2021, 7, 3, 23, 44, 10, bits, 18
pyran, 1625355850, 2021, 7, 3, 23, 44, 10, volt, 0.14
board, 1625355850, 2021, 7, 3, 23, 44, 10, temp, 17.75
pyran, 1625355860, 2021, 7, 3, 23, 44, 20, bits, 16
pyran, 1625355860, 2021, 7, 3, 23, 44, 20, volt, 0.13
board, 1625355860, 2021, 7, 3, 23, 44, 20, temp, 17.75
pyran, 1625355870, 2021, 7, 3, 23, 44, 30, bits, 17
pyran, 1625355870, 2021, 7, 3, 23, 44, 30, volt, 0.13
board, 1625355870, 2021, 7, 3, 23, 44, 30, temp, 17.75
pyran, 1625355880, 2021, 7, 3, 23, 44, 40, bits, 17
pyran, 1625355880, 2021, 7, 3, 23, 44, 40, volt, 0.13
board, 1625355880, 2021, 7, 3, 23, 44, 40, temp, 17.75
pyran, 1625355890, 2021, 7, 3, 23, 44, 50, bits, 16
pyran, 1625355890, 2021, 7, 3, 23, 44, 50, volt, 0.13
board, 1625355890, 2021, 7, 3, 23, 44, 50, temp, 17.75
pyran, 1625355900, 2021, 7, 3, 23, 45, 0, bits, 15
pyran, 1625355900, 2021, 7, 3, 23, 45, 0, volt, 0.12
board, 1625355900, 2021, 7, 3, 23, 45, 0, temp, 17.75
pyran, 1625355910, 2021, 7, 3, 23, 45, 10, bits, 14
pyran, 1625355910, 2021, 7, 3, 23, 45, 10, volt, 0.11
board, 1625355910, 2021, 7, 3, 23, 45, 10, temp, 17.75
pyran, 1625355920, 2021, 7, 3, 23, 45, 20, bits, 15
pyran, 1625355920, 2021, 7, 3, 23, 45, 20, volt, 0.12
board, 1625355920, 2021, 7, 3, 23, 45, 20, temp, 17.75
pyran, 1625355930, 2021, 7, 3, 23, 45, 30, bits, 15
pyran, 1625355930, 2021, 7, 3, 23, 45, 30, volt, 0.12
board, 1625355930, 2021, 7, 3, 23, 45, 30, temp, 17.50
pyran, 1625355940, 2021, 7, 3, 23, 45, 40, bits, 15
pyran, 1625355940, 2021, 7, 3, 23, 45, 40, volt, 0.12
board, 1625355940, 2021, 7, 3, 23, 45, 40, temp, 17.75
pyran, 1625355950, 2021, 7, 3, 23, 45, 50, bits, 15
pyran, 1625355950, 2021, 7, 3, 23, 45, 50, volt, 0.12
board, 1625355950, 2021, 7, 3, 23, 45, 50, temp, 17.50
pyran, 1625355960, 2021, 7, 3, 23, 46, 0, bits, 14
pyran, 1625355960, 2021, 7, 3, 23, 46, 0, volt, 0.11
board, 1625355960, 2021, 7, 3, 23, 46, 0, temp, 17.75
pyran, 1625355970, 2021, 7, 3, 23, 46, 10, bits, 14
pyran, 1625355970, 2021, 7, 3, 23, 46, 10, volt, 0.11
board, 1625355970, 2021, 7, 3, 23, 46, 10, temp, 17.50
pyran, 1625355980, 2021, 7, 3, 23, 46, 20, bits, 14
pyran, 1625355980, 2021, 7, 3, 23, 46, 20, volt, 0.11
board, 1625355980, 2021, 7, 3, 23, 46, 20, temp, 17.50
pyran, 1625355990, 2021, 7, 3, 23, 46, 30, bits, 12
pyran, 1625355990, 2021, 7, 3, 23, 46, 30, volt, 0.09
board, 1625355990, 2021, 7, 3, 23, 46, 30, temp, 17.75
pyran, 1625356000, 2021, 7, 3, 23, 46, 40, bits, 12
pyran, 1625356000, 2021, 7, 3, 23, 46, 40, volt, 0.09
board, 1625356000, 2021, 7, 3, 23, 46, 40, temp, 17.50
pyran, 1625356010, 2021, 7, 3, 23, 46, 50, bits, 12
pyran, 1625356010, 2021, 7, 3, 23, 46, 50, volt, 0.09
board, 1625356010, 2021, 7, 3, 23, 46, 50, temp, 17.50
pyran, 1625356020, 2021, 7, 3, 23, 47, 0, bits, 12
pyran, 1625356020, 2021, 7, 3, 23, 47, 0, volt, 0.09
board, 1625356020, 2021, 7, 3, 23, 47, 0, temp, 17.75
pyran, 1625356030, 2021, 7, 3, 23, 47, 10, bits, 12
pyran, 1625356030, 2021, 7, 3, 23, 47, 10, volt, 0.09
board, 1625356030, 2021, 7, 3, 23, 47, 10, temp, 17.50
pyran, 1625356040, 2021, 7, 3, 23, 47, 20, bits, 11
pyran, 1625356040, 2021, 7, 3, 23, 47, 20, volt, 0.09
board, 1625356040, 2021, 7, 3, 23, 47, 20, temp, 17.75
pyran, 1625356050, 2021, 7, 3, 23, 47, 30, bits, 11
pyran, 1625356050, 2021, 7, 3, 23, 47, 30, volt, 0.09
board, 1625356050, 2021, 7, 3, 23, 47, 30, temp, 17.50
pyran, 1625356060, 2021, 7, 3, 23, 47, 40, bits, 12
pyran, 1625356060, 2021, 7, 3, 23, 47, 40, volt, 0.09
board, 1625356060, 2021, 7, 3, 23, 47, 40, temp, 17.50
pyran, 1625356070, 2021, 7, 3, 23, 47, 50, bits, 12
pyran, 1625356070, 2021, 7, 3, 23, 47, 50, volt, 0.09
board, 1625356070, 2021, 7, 3, 23, 47, 50, temp, 17.50
pyran, 1625356080, 2021, 7, 3, 23, 48, 0, bits, 12
pyran, 1625356080, 2021, 7, 3, 23, 48, 0, volt, 0.09
board, 1625356080, 2021, 7, 3, 23, 48, 0, temp, 17.50
pyran, 1625356090, 2021, 7, 3, 23, 48, 10, bits, 11
pyran, 1625356090, 2021, 7, 3, 23, 48, 10, volt, 0.09
board, 1625356090, 2021, 7, 3, 23, 48, 10, temp, 17.50
pyran, 1625356100, 2021, 7, 3, 23, 48, 20, bits, 9
pyran, 1625356100, 2021, 7, 3, 23, 48, 20, volt, 0.07
board, 1625356100, 2021, 7, 3, 23, 48, 20, temp, 17.50
pyran, 1625356110, 2021, 7, 3, 23, 48, 30, bits, 10
pyran, 1625356110, 2021, 7, 3, 23, 48, 30, volt, 0.08
board, 1625356110, 2021, 7, 3, 23, 48, 30, temp, 17.50
pyran, 1625356120, 2021, 7, 3, 23, 48, 40, bits, 10
pyran, 1625356120, 2021, 7, 3, 23, 48, 40, volt, 0.08
board, 1625356120, 2021, 7, 3, 23, 48, 40, temp, 17.50
pyran, 1625356130, 2021, 7, 3, 23, 48, 50, bits, 10
pyran, 1625356130, 2021, 7, 3, 23, 48, 50, volt, 0.08
board, 1625356130, 2021, 7, 3, 23, 48, 50, temp, 17.50
pyran, 1625356140, 2021, 7, 3, 23, 49, 0, bits, 11
pyran, 1625356140, 2021, 7, 3, 23, 49, 0, volt, 0.09
board, 1625356140, 2021, 7, 3, 23, 49, 0, temp, 17.50
pyran, 1625356150, 2021, 7, 3, 23, 49, 10, bits, 11
pyran, 1625356150, 2021, 7, 3, 23, 49, 10, volt, 0.09
board, 1625356150, 2021, 7, 3, 23, 49, 10, temp, 17.50
pyran, 1625356160, 2021, 7, 3, 23, 49, 20, bits, 11
pyran, 1625356160, 2021, 7, 3, 23, 49, 20, volt, 0.09
