"Month","Day","Hour","Minute","Half_min","fn","volt"
8,17,9,34,1,"plot57",4.49666666666667
8,17,9,35,0,"plot57",4.26
8,17,9,35,1,"plot57",3.55
8,17,9,36,1,"plot57",0.38
8,17,9,37,0,"plot57",3.04666666666667
8,17,9,37,1,"plot57",5.75
8,17,9,38,0,"plot57",8.54666666666667
8,17,9,38,1,"plot57",9.37
8,17,9,39,0,"plot57",13.0633333333333
8,17,9,39,1,"plot57",17.5
8,17,9,40,0,"plot57",21.3866666666667
8,17,9,40,1,"plot57",24.3866666666667
8,17,9,41,0,"plot57",25.34
8,17,9,41,1,"plot57",24.7766666666667
8,17,9,42,0,"plot57",24.7633333333333
8,17,9,42,1,"plot57",25.3466666666667
8,17,9,43,0,"plot57",26.0266666666667
8,17,9,43,1,"plot57",26.29
8,17,9,44,0,"plot57",26.3566666666667
8,17,9,44,1,"plot57",26.4266666666667
8,17,9,45,0,"plot57",26.4966666666667
8,17,9,45,1,"plot57",26.67
8,17,9,46,0,"plot57",26.7466666666667
8,17,9,46,1,"plot57",26.8333333333333
8,17,9,47,0,"plot57",26.9033333333333
8,17,9,47,1,"plot57",26.9933333333333
8,17,9,48,0,"plot57",26.9966666666667
8,17,9,48,1,"plot57",27.1366666666667
8,17,9,50,0,"plot57",27.3566666666667
8,17,9,50,1,"plot57",27.5133333333333
8,17,9,51,0,"plot57",27.5333333333333
8,17,9,51,1,"plot57",27.63
8,17,9,52,0,"plot57",27.77
8,17,9,52,1,"plot57",27.8866666666667
8,17,9,53,0,"plot57",27.97
8,17,9,53,1,"plot57",28.01
8,17,9,54,0,"plot57",28.0366666666667
8,17,9,54,1,"plot57",28.1533333333333
8,17,9,55,0,"plot57",28.2
8,17,9,55,1,"plot57",28.2033333333333
8,17,9,56,0,"plot57",28.48
8,17,9,56,1,"plot57",28.54
8,17,9,57,0,"plot57",28.7233333333333
8,17,9,57,1,"plot57",28.7366666666667
8,17,9,58,0,"plot57",28.7266666666667
8,17,9,58,1,"plot57",28.75
8,17,9,59,0,"plot57",28.8133333333333
8,17,9,59,1,"plot57",28.85
8,17,10,0,0,"plot57",28.9933333333333
8,17,10,0,1,"plot57",29
8,17,10,1,0,"plot57",29.0433333333333
8,17,10,1,1,"plot57",29.2566666666667
8,17,10,2,0,"plot57",29.065
8,17,10,3,0,"plot57",29.21
8,17,10,3,1,"plot57",29.3366666666667
8,17,10,4,0,"plot57",29.4666666666667
8,17,10,4,1,"plot57",29.5133333333333
8,17,10,5,0,"plot57",29.5133333333333
8,17,10,5,1,"plot57",29.7266666666667
8,17,10,6,0,"plot57",29.8633333333333
8,17,10,6,1,"plot57",30.03
8,17,10,7,0,"plot57",30.1166666666667
8,17,10,7,1,"plot57",30.2133333333333
8,17,10,8,0,"plot57",30.2233333333333
8,17,10,8,1,"plot57",30.27
8,17,10,9,0,"plot57",30.2966666666667
8,17,10,9,1,"plot57",30.2833333333333
8,17,10,10,0,"plot57",30.29
8,17,10,10,1,"plot57",30.4166666666667
8,17,10,11,0,"plot57",30.5566666666667
8,17,10,11,1,"plot57",30.5733333333333
8,17,10,12,0,"plot57",30.68
8,17,10,12,1,"plot57",30.6566666666667
8,17,10,13,0,"plot57",30.7466666666667
8,17,10,13,1,"plot57",30.43
8,17,10,14,0,"plot57",30.7733333333333
8,17,10,14,1,"plot57",31.0333333333333
8,17,10,15,0,"plot57",31.05
8,17,10,15,1,"plot57",30.9933333333333
8,17,10,16,0,"plot57",31.09
8,17,10,17,0,"plot57",31.14
8,17,10,17,1,"plot57",31.1166666666667
8,17,10,18,0,"plot57",31.2933333333333
8,17,10,18,1,"plot57",31.3333333333333
8,17,10,19,0,"plot57",31.5433333333333
8,17,10,19,1,"plot57",31.7566666666667
8,17,10,20,0,"plot57",31.6133333333333
8,17,10,20,1,"plot57",31.86
8,17,10,21,0,"plot57",31.87
8,17,10,21,1,"plot57",31.9533333333333
8,17,10,22,0,"plot57",31.87
8,17,10,22,1,"plot57",31.9933333333333
8,17,10,23,0,"plot57",31.9766666666667
8,17,10,23,1,"plot57",32.0866666666667
8,17,10,24,0,"plot57",32.0266666666667
8,17,10,24,1,"plot57",32.0033333333333
8,17,10,25,0,"plot57",32.3
8,17,10,25,1,"plot57",32.5733333333333
8,17,10,26,0,"plot57",32.6666666666667
8,17,10,26,1,"plot57",32.4933333333333
8,17,10,27,0,"plot57",32.56
8,17,10,27,1,"plot57",32.79
8,17,10,28,0,"plot57",32.9533333333333
8,17,10,28,1,"plot57",32.9833333333333
8,17,10,29,0,"plot57",32.86
8,17,10,29,1,"plot57",32.9
8,17,10,30,0,"plot57",33.09
8,17,10,31,0,"plot57",33.125
8,17,10,31,1,"plot57",33.2833333333333
8,17,10,32,0,"plot57",33.35
8,17,10,32,1,"plot57",33.3533333333333
8,17,10,33,0,"plot57",33.6433333333333
8,17,10,33,1,"plot57",33.8966666666667
8,17,10,34,0,"plot57",34.0233333333333
8,17,10,34,1,"plot57",34.3766666666667
8,17,10,35,0,"plot57",34.6466666666667
8,17,10,35,1,"plot57",34.9133333333333
8,17,10,36,0,"plot57",34.81
8,17,10,36,1,"plot57",35.13
8,17,10,37,0,"plot57",34.8166666666667
8,17,10,37,1,"plot57",34.6233333333333
8,17,10,38,0,"plot57",34.7066666666667
8,17,10,38,1,"plot57",34.78
8,17,10,39,0,"plot57",34.97
8,17,10,39,1,"plot57",35.03
8,17,10,40,0,"plot57",35.0433333333333
