"Month","Day","Hour","Half_hour","Minute","fn","volt"
7,26,15,30,19,"plot39",3.45833333333333
7,26,15,30,5,"plot39",24.92
7,26,15,30,14,"plot39",13.1316666666667
7,26,15,30,17,"plot39",24.4883333333333
7,26,15,30,12,"plot39",23.6416666666667
7,26,15,30,8,"plot39",14.4283333333333
7,26,15,30,21,"plot39",26.16
7,26,15,30,24,"plot39",26.99
7,26,15,30,1,"plot39",14.6633333333333
7,26,15,30,20,"plot39",8.992
7,26,15,30,4,"plot39",8.54
7,26,15,30,29,"plot39",8.94
7,26,15,30,25,"plot39",15.735
7,26,15,30,13,"plot39",15.1416666666667
7,26,15,30,26,"plot39",8.61
7,26,15,30,9,"plot39",25.2466666666667
7,26,15,30,28,"plot39",7.64333333333333
7,26,15,30,27,"plot39",8.70333333333333
7,26,15,30,2,"plot39",18.5933333333333
7,26,15,30,11,"plot39",29.8983333333333
7,26,15,30,0,"plot39",5.225
7,26,15,30,3,"plot39",7.652
7,26,15,30,10,"plot39",26.2633333333333
7,26,16,0,50,"plot39",0.256666666666667
7,26,16,0,31,"plot39",0.3
7,26,16,0,43,"plot39",0.27
7,26,16,0,33,"plot39",0.288333333333333
7,26,16,0,45,"plot39",0.26
7,26,16,0,44,"plot39",0.266666666666667
7,26,16,0,46,"plot39",0.263333333333333
7,26,16,0,49,"plot39",0.261666666666667
7,26,16,0,30,"plot39",0.296666666666667
7,26,16,0,47,"plot39",0.265
