Plot,Tag,Q,N_infl,Fl_open,Fl_done,Done,Last_date,Old_info,Old_q,Old_notes
164,2036,,,,,,6/23/22,2;1;3,,
164,2039,,,,,,6/23/22,1;2;7,,
164,2045,,,,,,6/23/22,2;10;8,,knocked one open off
164,2048,,,,,,6/23/22,1;10;0,,
164,2050,,,,,,6/23/22,1;2;5,,
164,2054,,,,,,6/23/22,3;11;0,,
164,2058,,,,,,6/23/22,1;3;0,,
164,2071,,,,,,6/23/22,2;2;4,,
164,2081,,,,,,6/23/22,1;1;4,,
164,2083,,,,,,6/23/22,3;12;9,,
164,2116,,,,,,6/23/22,1;1;0,,
166,2120,,,,,,6/23/22,0;0;0,,yv
166,2144,,,,,,6/23/22,0;0;0,,yv
169,2022,,,,,,6/23/22,1;1;8,,
169,2034,,,,,,6/23/22,1;1;6,,
169,2046,,,,,,6/23/22,7;0;22,,
169,2067,,,,,,6/23/22,1;0;3,,
169,2078,,,,,,6/23/22,1;1;9,,
169,2080,,,,,,6/23/22,1;0;4,,
169,2086,,,,,,6/23/22,1;7;0,TRUE,
169,2124,,,,,,6/23/22,1;7;0,TRUE,possibly prev missed
170,2002,,,,,,6/23/22,3;5;6,TRUE,check 6/20 data entry for this plot
170,2005,,,,,,6/23/22,1;0;7,,
170,2008,,,,,,6/23/22,1;2;3,,florivory
170,2011,,,,,,6/23/22,1;2;3,TRUE,
170,2012,,,,,,6/23/22,1;0;7,TRUE,no second infl; possibly 2013 record on 6/20
170,2013,,,,,,6/23/22,3;10;2,TRUE,possibly 2012 record on 6/20
170,2017,,,,,,6/23/22,2;0;12,,
170,2032,,,,,,6/23/22,3;0;14,,no second infl; possibly 2037 record on 6/20
170,2037,,,,,,6/23/22,1;0;4,,possibly 2032 record on 6/20
170,2040,,,,,,6/23/22,1;3;6,,one fl possibly lost
170,2042,,,,,,6/23/22,1;0;8,TRUE,check 6/20 data entry for this plot
170,2044,,,,,,6/23/22,1;1;7,,
170,2052,,,,,,6/23/22,2;1;3,,
170,2057,,,,,,6/23/22,1;1;0,,
170,2066,,,,,,6/23/22,1;4;0,,
170,2077,,,,,,6/23/22,1;2;4,,
170,2079,,,,,,6/23/22,1;2;0,,
170,2085,,,,,,6/23/22,1;3;0,,yv
170,2092,,,,,,6/23/22,1;1;1,,
170,2096,,,,,,6/23/22,2;0;9,TRUE,old tag
170,2105,,,,,,6/23/22,0;0;0,,yv
