"Plot","Tag","Q","N_infl","Fl_open","Fl_done","Done","Last_date","Old_info","Old_q","Old_notes"
163,2064,,,,,,"6/30/22","1;2;4",,""
163,2075,,,,,,"6/30/22","2;1;10",,""
163,2076,,,,,,"6/30/22","2;2;5",,""
163,2082,,,,,,"6/30/22","2;2;6",,""
163,2084,,,,,,"6/30/22","2;1;8",,"knocked one off"
163,2087,,,,,,"6/30/22","1;2;3",,""
163,2098,,,,,,"6/30/22","3;2;5",,""
163,2103,,,,,,"6/30/22","1;1;0",,""
163,2106,,,,,,"6/30/22","1;6;2",,""
163,2117,,,,,,"6/30/22","1;0;1",,""
163,2122,,,,,,"6/30/22","2;4;0",,""
163,2125,,,,,,"6/30/22","1;3;0",,""
163,2150,,,,,,"6/30/22","1;1;0",,""
164,2003,,,,,,"6/30/22","1;1;10",,""
164,2015,,,,,,"6/30/22","3;10;6",,""
164,2020,,,,,,"6/30/22","3;0;21",,""
164,2039,,,,,,"6/30/22","1;0;8",,""
164,2045,,,,,,"6/30/22","2;2;15",,""
164,2050,,,,,,"6/30/22","1;0;8",,""
164,2054,,,,,,"6/30/22","3;6;9",,""
164,2058,,,,,,"6/30/22","1;5;1",,""
164,2071,,,,,,"6/30/22","2;3;8",,""
164,2081,,,,,,"6/30/22","1;3;5",,""
164,2083,,,,,,"6/30/22","3;1;19",,""
164,2116,,,,,,"6/30/22","1;2;1",,""
164,2031,,,,,"done","6/30/22","1;0;5",,""
164,2036,,,,,"done","6/30/22","2;0;4",,""
166,2104,,,,,,"6/30/22","0;0;0",,"yv"
166,2120,,,,,,"6/30/22","1;1;0",,""
166,2144,,,,,,"6/30/22","1;0;1",,""
168,2088,,,,,,"6/30/22","1;4;1",,""
169,2011,,,,,,"6/27/22","2;2;14",,"old tag"
169,2034,,,,,,"6/30/22","1;0;9",,""
169,2086,,,,,,"6/30/22","1;4;4",,""
169,2022,,,,,"done","6/30/22","1;0;9",,""
169,2046,,,,,"done","6/27/22","7;0;19",,""
169,2067,,,,,"done","6/27/22","1;0;3",,""
169,2078,,,,,"done","6/30/22","1;0;8",,""
169,2080,,,,,"done","6/27/22","1;0;4",,"one fl gone (empty calyx) not counted"
169,2124,,,,,"done","6/30/22","1;0;5",,""
170,2002,,,,,,"6/30/22","NA;NA;NA",,"[missed]"
170,2011,,,,,,"6/30/22","1;0;5",,""
170,2013,,,,,,"6/30/22","3;1;10",,""
170,2037,,,,,,"6/30/22","1;0;4",,""
170,2052,,,,,,"6/30/22","2;1;4",,""
170,2066,,,,,,"6/30/22","1;0;5",,""
170,2077,,,,,,"6/30/22","1;0;6",,""
170,2085,,,,,,"6/30/22","1;2;3",,""
170,2092,,,,,,"6/30/22","1;0;1",,""
170,2105,,,,,,"6/30/22","1;1;0",,""
170,2005,,,,,"done","6/27/22","1;0;7",,""
170,2008,,,,,"done","6/30/22","1;0;5",,""
170,2012,,,,,"done","6/30/22","1;0;8",,""
170,2032,,,,,"done","6/30/22","3;0;5",,""
170,2040,,,,,"done","6/30/22","3;0;11",,"old may have included infl from 2052"
170,2042,,,,,"done","6/27/22","1;0;7",,""
170,2044,,,,,"done","6/30/22","1;0;8",,""
170,2057,,,,,"done","6/30/22","1;0;1",,""
