Month,Day,Hour,Zenith,Azimuth,Sunrise,sunset
6,29,14,20.3582993274242,218.340692745392,5.59966698568349,20.5871227425992
6,29,15,29.3694513362702,243.685982718759,5.59966698568349,20.5871227425992
6,29,16,40.2412410042191,258.699595923584,5.59966698568349,20.5871227425992
6,30,8,65.2761954508323,79.6848072731936,5.60713663375112,20.5865536149309
6,30,9,53.8748952972625,88.6818671327215,5.60713663375112,20.5865536149309
6,30,10,42.4368810855391,99.0591822724835,5.60713663375112,20.5865536149309
6,30,11,31.4061793449868,112.966481533873,5.60713663375112,20.5865536149309
6,30,12,21.8620813028918,135.600834856835,5.60713663375112,20.5865536149309
6,30,13,16.9237088344437,175.36784125442,5.60713663375112,20.5865536149309
6,30,14,20.3854937543931,218.139960220521,5.60713663375112,20.5865536149309
6,30,15,29.3749537937037,243.533105855965,5.60713663375112,20.5865536149309
6,30,16,40.2384253428017,258.582977073123,5.60713663375112,20.5865536149309
7,1,8,65.3500886380102,79.7143287173643,5.61502679817464,20.5854408598241
7,1,9,53.9483076063061,88.7175064682915,5.61502679817464,20.5854408598241
7,1,10,42.5109506541866,99.1002189124679,5.61502679817464,20.5854408598241
7,1,11,31.4826373341722,113.006806084351,5.61502679817464,20.5854408598241
7,1,12,21.9415783600313,135.604954327297,5.61502679817464,20.5854408598241
7,1,13,16.9924229012469,175.229242428452,5.61502679817464,20.5854408598241
7,1,14,20.4191399131199,217.931967757872,5.61502679817464,20.5854408598241
7,1,15,29.3857671796983,243.371240147233,5.61502679817464,20.5854408598241
7,1,16,40.2403254375981,258.458619118592,5.61502679817464,20.5854408598241
7,2,8,65.4270794742205,79.7504436866071,5.62332598731015,20.5837813561656
7,2,9,54.0246800554116,88.7606163852826,5.62332598731015,20.5837813561656
7,2,10,42.5880933035228,99.1500731724789,5.62332598731015,20.5837813561656
7,2,11,31.5627052400224,113.057922330755,5.62332598731015,20.5837813561656
7,2,12,22.0259814967956,135.621500746468,5.62332598731015,20.5837813561656
7,2,13,17.0678519612928,175.096574377109,5.62332598731015,20.5837813561656
7,2,14,20.4592881115256,217.717211421817,5.62332598731015,20.5837813561656
7,2,15,29.4019754756194,243.200646843585,5.62332598731015,20.5837813561656
7,2,16,40.2470269304292,258.326680681149,5.62332598731015,20.5837813561656
7,3,8,65.5070766135976,79.7931712772612,5.63202227671347,20.5815722294218
7,3,9,54.1039238462354,88.8112057222267,5.63202227671347,20.5815722294218
7,3,10,42.6682241818539,99.2087425225062,5.63202227671347,20.5815722294218
7,3,11,31.6463027615293,113.119815659998,5.63202227671347,20.5815722294218
7,3,12,22.1152136955865,135.650490233317,5.63202227671347,20.5815722294218
7,3,13,17.1499481494866,174.970230178797,5.63202227671347,20.5815722294218
7,3,14,20.5059868460413,217.496204101047,5.63202227671347,20.5815722294218
7,3,15,29.423663207984,243.021601709989,5.63202227671347,20.5815722294218
7,3,16,40.2586164805143,258.18732917426,5.63202227671347,20.5815722294218
7,4,8,65.5899884101813,79.8425288466879,5.64110351318893,20.5788108829439
7,4,9,54.1859505124383,88.8692808474474,5.64110351318893,20.5788108829439
7,4,10,42.7512594795671,99.2762205974598,5.64110351318893,20.5788108829439
7,4,11,31.7333513602983,113.192464229398,5.64110351318893,20.5788108829439
7,4,12,22.2091996731701,135.691922086459,5.64110351318893,20.5788108829439
7,4,13,17.2386619044662,174.850580401788,5.64110351318893,20.5788108829439
7,4,14,20.5592822839371,217.269469167443,5.64110351318893,20.5788108829439
7,4,15,29.4509144438471,242.834391714247,5.64110351318893,20.5788108829439
