Date,Plot,Tag,Fl_stems,Fl_open,Fl_done,Toothpick,Q,Page,Note
6/21/21,62,1166,0,0,0,wrb,,3,yv
6/21/21,62,1150,1,4,0,,,3,
6/21/21,62,1315,1,3,0,b,,3,
6/21/21,62,1040,0,0,0,wgb,,3,yv
6/21/21,62,1194,3,10,0,wgr,,3,
6/21/21,62,1255,0,0,0,rr,,3,yv
6/21/21,62,1045,0,0,0,ww,,3,yv
6/21/21,58,,0,0,0,ww,,3,yv
6/21/21,59,1199,1,1,0,r,,4,
6/21/21,4,,0,0,0,y,,4,yv
6/21/21,21,1172,1,1,0,w,,4,yv
6/21/21,8,1201,0,0,0,gg,,4,yv
6/21/21,8,1168,1,1,0,b,,4,
6/21/21,8,1153,0,0,0,o,,4,yv
6/21/21,5,1159,0,0,0,wb,,4,yv
6/21/21,7,1198,0,0,0,yw,,4,yv
6/21/21,28,1286,0,0,0,w,,4,2yv
6/21/21,6,1300,1,3,0,r,,4,
6/21/21,6,1138,0,0,0,w,,4,yv
6/21/21,6,1149,1,1,0,gw,,4,fl has no wings
6/21/21,24,1192,0,0,0,b,,4,yv
6/21/21,27,1202,0,0,0,o,,4,yv
6/21/21,36,1051,0,0,0,y,,4,yv
6/21/21,37,1148,0,0,0,rg,,4,yv
6/21/21,38,1224,0,0,0,bo,,4,yv
6/25/21,71,1019,0,0,0,y,,7,yv
6/25/21,66,1306,0,0,0,y,,7,yv
6/25/21,66,1269,0,0,0,b,,7,yv
6/25/21,74,1009,2,9,0,x,,7,likely missed on boundary
6/25/21,74,1200,1,5,0,wwg,,7,
6/25/21,74,1021,1,5,0,wb,,7,
6/25/21,74,1073,0,0,0,oo,,7,yv
6/25/21,74,1088,0,0,0,wwb,,7,yv
6/25/21,74,1007,1,4,0,yyy,,7,
6/25/21,74,1058,1,5,2,wg,q,7,tp may be go
6/25/21,74,1227,1,3,0,,,7,yv
6/25/21,75,1079,0,0,0,b,,7,yv
6/25/21,76,1010,0,0,0,rr,,7,yv
6/25/21,76,1013,1,3,0,b,,7,yv
6/25/21,76,1119,1,1,0,rg,q,7,two tps? Rg and g; is rgg?
6/25/21,76,1077,0,0,0,bo,,7,
6/25/21,62,1126,0,0,0,,[q],7,yv; [fogot tp]
6/25/21,62,1070,0,0,0,ggg,,7,yv
6/25/21,60,1249,0,0,0,yg,,7,yv
6/25/21,60,1100,0,0,0,go,,7,yv
6/25/21,59,1055,0,0,0,y,,7,yv
6/25/21,58,1080,0,0,0,ww,,7,yv
6/25/21,58,1188,0,0,0,w,,7,yv
6/25/21,57,1251,0,0,0,y,,7,yv
6/25/21,37,1082,0,0,0,b,,7,yv
6/25/21,9,1218,0,0,0,y,,7,yv
6/25/21,9,1049,1,5,0,w,,7,yv
6/25/21,9,1316,0,0,0,,,7,yv; can't find tp; one beneath shrub
6/25/21,2,1011,0,0,0,r,,7,yv
6/25/21,2,1160,0,0,0,x,,7,yv
6/25/21,4,1186,0,0,0,w,,7,yv
6/25/21,20,1196,0,0,0,,,7,yv
6/28/21,62,1060,1,4,0,,,13,
6/28/21,74,1281,0,0,0,x,,15,yv
6/28/21,74,1054,1,3,5,,,15,
7/1/21,62,1068,0,0,0,wry,,19,yv
7/1/21,62,1031,1,2,0,g,,19,
7/1/21,74,1170,1,6,0,x,,20,on boundary; prev missed
7/1/21,74,1229,1,1,0,gy,,20,possible dupe; chewed up tag found in here
7/1/21,74,1214,1,2,6,rrr,,20,possible dupe; chewed up tag found in here
7/1/21,75,1174,0,0,0,r,,21,yv
7/1/21,76,1125,0,0,0,oo,,21,yv
7/1/21,76,1206,1,2,0,,c,21,yv; check TP
7/5/21,70,1095,0,0,0,w,,27,yv
7/5/21,73,1069,0,0,0,yg,,27,yv; broke gtp so now only y
7/5/21,74,1240,0,0,0,r,,27,yv
7/5/21,60,1274,0,0,0,wo,,27,yv
7/5/21,60,1178,0,0,0,wg,,27,yv
7/5/21,25,1083,0,0,0,yw,,27,yv
7/5/21,8,1288,1,6,0,gg,q,27,is dupe? Check 1201
7/5/21,2,1291,2,4,0,wg,,27,
7/12/21,60,1215,1,1,0,www,,27,
