"Tag","Fruit_no","Full_fruit_wt","Total_n_seeds","Full__n_seeds","All_seeds__wt","Date_counted","Notes"
1031,1,NA,NA,NA,NA,NA,NA
1031,2,NA,NA,NA,NA,NA,NA
1031,3,NA,NA,NA,NA,NA,NA
1144,1,NA,NA,NA,NA,NA,NA
1144,2,NA,NA,NA,NA,NA,NA
1144,3,NA,NA,NA,NA,NA,NA
1050,6,NA,NA,NA,NA,NA,NA
1050,7,NA,NA,NA,NA,NA,NA
1308,2,NA,NA,NA,NA,NA,NA
1308,3,NA,NA,NA,NA,NA,NA
1308,4,NA,NA,NA,NA,NA,NA
1308,5,NA,NA,NA,NA,NA,NA
1308,6,NA,NA,NA,NA,NA,NA
1308,7,NA,NA,NA,NA,NA,NA
1308,8,NA,NA,NA,NA,NA,NA
1198,1,NA,NA,NA,NA,NA,NA
1198,2,NA,NA,NA,NA,NA,NA
1198,3,NA,NA,NA,NA,NA,NA
1151,3,NA,NA,NA,NA,NA,NA
1151,4,NA,NA,NA,NA,NA,NA
1151,5,NA,NA,NA,NA,NA,NA
1151,6,NA,NA,NA,NA,NA,NA
1032,1,NA,NA,NA,NA,NA,NA
1106,1,NA,NA,NA,NA,NA,NA
1106,2,NA,NA,NA,NA,NA,NA
1106,3,NA,NA,NA,NA,NA,NA
1286,1,NA,NA,NA,NA,NA,NA
1133,1,NA,NA,NA,NA,NA,NA
1133,2,NA,NA,NA,NA,NA,NA
1133,3,NA,NA,NA,NA,NA,NA
1133,4,NA,NA,NA,NA,NA,NA
1172,1,NA,NA,NA,NA,NA,NA
1172,2,NA,NA,NA,NA,NA,NA
1172,3,NA,NA,NA,NA,NA,NA
1172,4,NA,NA,NA,NA,NA,NA
1100,1,NA,NA,NA,NA,NA,NA
1084,1,NA,NA,NA,NA,NA,NA
1084,2,NA,NA,NA,NA,NA,NA
1084,3,NA,NA,NA,NA,NA,NA
1084,4,NA,NA,NA,NA,NA,NA
1084,5,NA,NA,NA,NA,NA,NA
1192,1,NA,NA,NA,NA,NA,NA
1288,1,NA,NA,NA,NA,NA,NA
1288,2,NA,NA,NA,NA,NA,NA
1288,3,NA,NA,NA,NA,NA,NA
1288,4,NA,NA,NA,NA,NA,NA
1288,5,NA,NA,NA,NA,NA,NA
1288,6,NA,NA,NA,NA,NA,NA
1288,7,NA,NA,NA,NA,NA,NA
1288,8,NA,NA,NA,NA,NA,NA
1137,1,NA,NA,NA,NA,NA,NA
1137,2,NA,NA,NA,NA,NA,NA
1137,3,NA,NA,NA,NA,NA,NA
1137,4,NA,NA,NA,NA,NA,NA
1137,5,NA,NA,NA,NA,NA,NA
1249,1,NA,NA,NA,NA,NA,NA
1249,2,NA,NA,NA,NA,NA,NA
1249,3,NA,NA,NA,NA,NA,NA
1249,4,NA,NA,NA,NA,NA,NA
1312,1,NA,NA,NA,NA,NA,NA
1312,2,NA,NA,NA,NA,NA,NA
1312,3,NA,NA,NA,NA,NA,NA
1312,4,NA,NA,NA,NA,NA,NA
1227,1,NA,NA,NA,NA,NA,NA
1198,4,NA,NA,NA,NA,NA,NA
1223,1,NA,NA,NA,NA,NA,NA
1223,2,NA,NA,NA,NA,NA,NA
1223,3,NA,NA,NA,NA,NA,NA
1223,4,NA,NA,NA,NA,NA,NA
1223,5,NA,NA,NA,NA,NA,NA
1223,6,NA,NA,NA,NA,NA,NA
1223,7,NA,NA,NA,NA,NA,NA
1136,1,NA,NA,NA,NA,NA,NA
1136,2,NA,NA,NA,NA,NA,NA
1136,3,NA,NA,NA,NA,NA,NA
1136,4,NA,NA,NA,NA,NA,NA
1136,5,NA,NA,NA,NA,NA,NA
1054,1,NA,NA,NA,NA,NA,NA
1054,2,NA,NA,NA,NA,NA,NA
1054,3,NA,NA,NA,NA,NA,NA
1054,4,NA,NA,NA,NA,NA,NA
1054,5,NA,NA,NA,NA,NA,NA
1054,6,NA,NA,NA,NA,NA,NA
1054,7,NA,NA,NA,NA,NA,NA
1135,1,NA,NA,NA,NA,NA,NA
1135,2,NA,NA,NA,NA,NA,NA
1135,3,NA,NA,NA,NA,NA,NA
1055,2,NA,NA,NA,NA,NA,NA
1055,3,NA,NA,NA,NA,NA,NA
1113,1,NA,NA,NA,NA,NA,NA
1113,2,NA,NA,NA,NA,NA,NA
1056,1,NA,NA,NA,NA,NA,NA
1056,2,NA,NA,NA,NA,NA,NA
1056,3,NA,NA,NA,NA,NA,NA
1056,4,NA,NA,NA,NA,NA,NA
1056,5,NA,NA,NA,NA,NA,NA
1306,1,NA,NA,NA,NA,NA,NA
1306,2,NA,NA,NA,NA,NA,NA
1306,3,NA,NA,NA,NA,NA,NA
1306,4,NA,NA,NA,NA,NA,NA
1306,5,NA,NA,NA,NA,NA,NA
1306,6,NA,NA,NA,NA,NA,NA
1306,7,NA,NA,NA,NA,NA,NA
1306,8,NA,NA,NA,NA,NA,NA
1306,9,NA,NA,NA,NA,NA,NA
1070,1,NA,NA,NA,NA,NA,NA
1070,2,NA,NA,NA,NA,NA,NA
1070,3,NA,NA,NA,NA,NA,NA
1070,4,NA,NA,NA,NA,NA,NA
1070,5,NA,NA,NA,NA,NA,NA
1070,6,NA,NA,NA,NA,NA,NA
1131,1,NA,NA,NA,NA,NA,NA
1131,2,NA,NA,NA,NA,NA,NA
1131,3,NA,NA,NA,NA,NA,NA
1131,4,NA,NA,NA,NA,NA,NA
1131,5,NA,NA,NA,NA,NA,NA
1131,6,NA,NA,NA,NA,NA,NA
1131,7,NA,NA,NA,NA,NA,NA
1131,8,NA,NA,NA,NA,NA,NA
1131,9,NA,NA,NA,NA,NA,NA
1168,1,NA,NA,NA,NA,NA,NA
1218,1,NA,NA,NA,NA,NA,NA
1218,2,NA,NA,NA,NA,NA,NA
1218,3,NA,NA,NA,NA,NA,NA
1142,1,NA,NA,NA,NA,NA,NA
1142,2,NA,NA,NA,NA,NA,NA
1142,3,NA,NA,NA,NA,NA,NA
1142,4,NA,NA,NA,NA,NA,NA
1071,1,NA,NA,NA,NA,NA,NA
1071,2,NA,NA,NA,NA,NA,NA
1071,3,NA,NA,NA,NA,NA,NA
1071,4,NA,NA,NA,NA,NA,NA
1071,5,NA,NA,NA,NA,NA,NA
1071,6,NA,NA,NA,NA,NA,NA
1071,7,NA,NA,NA,NA,NA,NA
1071,8,NA,NA,NA,NA,NA,NA
1071,9,NA,NA,NA,NA,NA,NA
1071,10,NA,NA,NA,NA,NA,NA
1224,1,NA,NA,NA,NA,NA,NA
1224,2,NA,NA,NA,NA,NA,NA
1224,3,NA,NA,NA,NA,NA,NA
1224,4,NA,NA,NA,NA,NA,NA
1224,5,NA,NA,NA,NA,NA,NA
1224,6,NA,NA,NA,NA,NA,NA
1220,1,NA,NA,NA,NA,NA,NA
1220,2,NA,NA,NA,NA,NA,NA
1220,3,NA,NA,NA,NA,NA,NA
1220,4,NA,NA,NA,NA,NA,NA
1220,5,NA,NA,NA,NA,NA,NA
1220,6,NA,NA,NA,NA,NA,NA
1220,7,NA,NA,NA,NA,NA,NA
1220,8,NA,NA,NA,NA,NA,NA
1220,9,NA,NA,NA,NA,NA,NA
1220,10,NA,NA,NA,NA,NA,NA
1220,11,NA,NA,NA,NA,NA,NA
1220,12,NA,NA,NA,NA,NA,NA
1283,1,NA,NA,NA,NA,NA,NA
1283,2,NA,NA,NA,NA,NA,NA
1140,1,NA,NA,NA,NA,NA,NA
1140,2,NA,NA,NA,NA,NA,NA
1137,6,NA,NA,NA,NA,NA,NA
1137,7,NA,NA,NA,NA,NA,NA
1137,8,NA,NA,NA,NA,NA,NA
1137,9,NA,NA,NA,NA,NA,NA
1137,10,NA,NA,NA,NA,NA,NA
1200,1,NA,NA,NA,NA,NA,NA
1200,2,NA,NA,NA,NA,NA,NA
1200,3,NA,NA,NA,NA,NA,NA
1200,4,NA,NA,NA,NA,NA,NA
1200,5,NA,NA,NA,NA,NA,NA
1007,1,NA,NA,NA,NA,NA,NA
1007,2,NA,NA,NA,NA,NA,NA
1007,3,NA,NA,NA,NA,NA,NA
1007,4,NA,NA,NA,NA,NA,NA
1289,3,NA,NA,NA,NA,NA,NA
1289,4,NA,NA,NA,NA,NA,NA
1240,1,NA,NA,NA,NA,NA,NA
1240,2,NA,NA,NA,NA,NA,NA
1240,3,NA,NA,NA,NA,NA,NA
1240,4,NA,NA,NA,NA,NA,NA
