"Plot","Tag","Toothpick","Q","Fl_stems","Fl_open","Fl_done","Done","Last_date","Old_info","Old_q","Old_note"
58,1188,"w",,,,,,2021-07-12,"1;0;6","",""
59,1055,"y",,,,,"done",2021-07-08,"1;0;1","",""
59,1147,"o",,,,,"done",2021-07-08,"1;0;6","",""
59,1199,"r",,,,,"done",2021-07-12,"1;0;9","",""
59,1301,"g",,,,,"done",2021-07-08,"2;0;25","",""
60,1100,"go",,,,,"done",2021-07-08,"1;0;1","",""
60,1178,"wg",,,,,,2021-07-12,"1;1;0","",""
60,1215,"www",,,,,,2021-07-12,"1;1;0","",""
60,1249,"yg",,,,,,2021-07-12,"1;0;6","",""
60,1274,"wo",,,,,,2021-07-12,"1;4;0","",""
62,1031,"g",,,,,"done",2021-07-08,"1;0;2","",""
62,1040,"wgb",,,,,"done",2021-07-08,"1;0;4","",""
62,1060,"",,,,,"done",2021-07-12,"1;0;8","",""
62,1065,"wyr",,,,,"done",2021-07-08,"1;0;2","",""
62,1084,"www",,,,,"done",2021-07-08,"2;0;10","",""
62,1126,"",,,,,"done",2021-07-12,"1;0;4","",""
62,1151,"",,,,,"done",2021-07-08,"1;0;5","",""
62,1166,"wrb",,,,,"done",2021-07-08,"1;0;4","","counted an empty calyx"
62,1194,"wgr",,,,,"done",2021-07-12,"3;0;20","",""
62,1260,"wo",,,,,"done",2021-07-08,"0;0;0","","grazed"
62,1276,"wry",,,,,"done",2021-07-12,"2;0;10","","incl empty calyx"
62,1315,"b",,,,,"done",2021-07-08,"1;0;10","",""
62,1068,"wry",,,,,,2021-07-12,"1;0;3","i","note should be 1060 (same as…)"
62,1070,"ggg",,,,,,2021-07-12,"1;0;11","",""
62,1150,"",,,,,,2021-07-12,"2;0;10","",""
62,1220,"yo",,,,,,2021-07-12,"4;0;28","","broke off 1 done"
66,1269,"b",,,,,,2021-07-12,"1;0;8","","uncounted dud"
66,1306,"y",,,,,,2021-07-12,"1;0;1","",""
70,1032,"y",,,,,"done",2021-07-12,"2;0;5","","two damaged won't fruit"
70,1095,"w",,,,,,2021-07-12,"1;6;0","",""
70,1248,"wr",,,,,,2021-07-12,"1;0;11","",""
71,1005,"wro",,,,,"done",2021-07-08,"1;0;2","",""
71,1016,"bo",,,,,"done",2021-07-12,"1;0;2","",""
71,1041,"yr",,,,,"done",2021-07-08,"2;0;5","",""
71,1050,"wggr",,,,,"done",2021-07-08,"2;0;4","",""
71,1052,"r",,,,,"done",2021-07-08,"1;0;6","",""
71,1078,"rro",,,,,"done",2021-07-08,"1;0;4","",""
71,1106,"yy",,,,,"done",2021-07-12,"2;0;11","",""
71,1289,"ygg",,,,,"done",2021-07-08,"1;0;4","",""
71,1308,"oy",,,,,"done",2021-07-08,"1;0;7","",""
71,1019,"y",,,,,,2021-07-12,"2;0;11","",""
73,1039,"ygo",,,,,"done",2021-07-08,"1;0;5","",""
73,1103,"or",,,,,"done",2021-07-12,"3;0;16","",""
73,1108,"y",,,,,"done",2021-07-08,"1;0;4","",""
73,1067,"wr",,,,,,2021-07-12,"1;0;10","",""
73,1069,"yg",,,,,,2021-07-12,"1;1;1","",""
74,1007,"yyy",,,,,"done",2021-07-12,"1;0;9","",""
74,1009,"x",,,,,"done",2021-07-12,"2;0;11","",""
74,1021,"wb",,,,,"done",2021-07-08,"1;0;5","",""
74,1033,"y",,,,,"done",2021-07-08,"1;0;3","",""
74,1043,"wy",,,,,"done",2021-07-12,"1;0;8","",""
74,1046,"bb",,,,,"done",2021-07-12,"5;0;27","","grazed"
74,1054,"",,,,,"done",2021-07-08,"1;0;8","",""
74,1055,"w",,,,,"done",2021-07-08,"1;0;6","",""
74,1056,"ry",,,,,"done",2021-07-08,"1;0;6","",""
74,1071,"by",,,,,"done",2021-07-12,"2;0;15","",""
74,1113,"bo",,,,,"done",2021-07-08,"1;0;4","q/i","confused w/ 1227 in prev record"
74,1122,"",,,,,"done",2021-07-12,"1;0;10","",""
74,1129,"bwo",,,,,"done",2021-07-08,"1;0;5","c","check tp date; could be 1046?"
74,1170,"x",,,,,"done",2021-07-08,"1;0;5","",""
74,1200,"wwg",,,,,"done",2021-07-08,"1;0;6","",""
74,1214,"rrr",,,,,"done",2021-07-08,"1;0;7","",""
74,1227,"",,,,,"done",2021-07-08,"1;0;2","",""
74,1229,"gy",,,,,"done",2021-07-08,"1;0;1","",""
74,1233,"www",,,,,"done",2021-07-12,"4;0;18","",""
74,1297,"ww",,,,,"done",2021-07-08,"2;0;15","q","second stem (1;0;2) is probably 1056…"
74,1058,"wg",,,,,,2021-07-12,"NA;NA;NA","",""
74,1073,"oo",,,,,,2021-07-12,"1;1;8","",""
74,1088,"wwb",,,,,,2021-07-12,"1;0;8","",""
74,1131,"",,,,,,2021-07-12,"2;0;11","",""
74,1240,"r",,,,,,2021-07-12,"1;5;1","",""
74,1281,"x",,,,,,2021-07-12,"NA;NA;NA","",""
75,1079,"b",,,,,,2021-07-12,"1;0;12","",""
75,1174,"r",,,,,,2021-07-12,"1;0;2","",""
76,1077,"bo",,,,,"done",2021-07-12,"0;0;0","",""
76,1094,"ww",,,,,"done",2021-07-08,"1;0;2","",""
76,1119,"rg",,,,,"done",2021-07-12,"1;0;3","",""
76,1284,"wb",,,,,"done",2021-07-08,"1;0;3","",""
76,1010,"rr",,,,,,2021-07-12,"1;0;4","","grazed"
76,1013,"b",,,,,,2021-07-12,"1;0;8","",""
76,1125,"oo",,,,,,2021-07-12,"1;0;2","",""
76,1206,"w",,,,,,2021-07-12,"2;0;8","",""
79,1283,"bo",,,,,"done",2021-07-08,"1;0;3","",""
