"Plot","Tag","Toothpick","Q","Fl_stems","Fl_open","Fl_done","Done","Last_date","Old_info","Old_q","Old_note"
60,1249,"yg",,,,,,"7/1/21","0;0;0","","yv"
62,1045,"ww",,,,,"done","6/28/21","1;0;2","",""
62,1255,"rr",,,,,"done","6/28/21","1;0;2","",""
62,1031,"g",,,,,,"7/1/21","1;2;0","",""
62,1040,"wgb",,,,,,"7/1/21","1;5;1","q","check prev"
62,1060,"",,,,,,"7/1/21","1;6;0","",""
62,1065,"wyr",,,,,,"7/1/21","1;1;2","",""
62,1068,"wry",,,,,,"7/1/21","0;0;0","","yv"
62,1070,"ggg",,,,,,"7/1/21","1;6;0","",""
62,1084,"www",,,,,,"7/1/21","2;11;2","",""
62,1126,"",,,,,,"7/1/21","1;4;0","i",""
62,1134,"",,,,,,"7/1/21","3;7;8","",""
62,1150,"",,,,,,"7/1/21","2;4;5","",""
62,1151,"",,,,,,"7/1/21","2;3;9","",""
62,1166,"wrb",,,,,,"7/1/21","1;7;0","",""
62,1181,"",,,,,,"7/1/21","1;0;4","",""
62,1194,"wgr",,,,,,"7/1/21","4;17;10","",""
62,1220,"yo",,,,,,"7/1/21","1;6;8","",""
62,1260,"wo",,,,,,"7/1/21","1;1;1","",""
62,1276,"wry",,,,,,"7/1/21","2;9;3","",""
62,1315,"b",,,,,,"7/1/21","1;7;4","",""
66,1269,"b",,,,,,"7/1/21","1;3;0","i","tag is 1239"
66,1306,"y",,,,,,"7/1/21","0;0;0","","yv"
70,1032,"y",,,,,,"7/1/21","2;5;2","",""
70,1248,"wr",,,,,,"7/1/21","1;8;0","",""
71,1005,"wro",,,,,,"7/1/21","1;2;0","",""
71,1016,"bo",,,,,,"7/1/21","1;2;0","",""
71,1019,"y",,,,,,"7/1/21","0;0;0","",""
71,1041,"yr",,,,,,"7/1/21","2;4;1","",""
71,1050,"wggr",,,,,,"7/1/21","2;3;10","",""
71,1052,"r",,,,,,"7/1/21","1;5;1","",""
71,1078,"rro",,,,,,"7/1/21","1;3;2","",""
71,1106,"yy",,,,,,"7/1/21","2;8;3","",""
71,1289,"ygg",,,,,,"7/1/21","1;2;2","",""
71,1308,"oy",,,,,,"7/1/21","1;1;8","",""
73,1127,"",,,,,"done","6/28/21","1;0;5","",""
73,1133,"",,,,,"done","6/28/21","1;0;5","",""
73,1135,"wb",,,,,"done","6/28/21","1;0;4","",""
73,1039,"ygo",,,,,,"7/1/21","1;3;3","",""
73,1067,"wr",,,,,,"7/1/21","1;6;2","",""
73,1103,"or",,,,,,"7/1/21","3;4;16","",""
73,1107,"",,,,,,"7/1/21","1;0;4","",""
73,1108,"y",,,,,,"7/1/21","1;1;3","",""
73,1132,"",,,,,,"7/1/21","1;0;7","",""
73,1280,"rr",,,,,,"7/1/21","1;0;9","",""
74,1007,"yyy",,,,,,"7/1/21","1;9;0","",""
74,1009,"x",,,,,,"7/1/21","2;3;9","",""
74,1021,"wb",,,,,,"7/1/21","1;1;4","",""
74,1033,"y",,,,,,"7/1/21","2;3;1","",""
74,1043,"wy",,,,,,"7/1/21","1;6;2","",""
74,1046,"bb",,,,,,"7/1/21","5;25;10","",""
74,1054,"",,,,,,"7/1/21","1;1;7","",""
74,1055,"w",,,,,,"7/1/21","1;3;3","",""
74,1056,"ry",,,,,,"7/1/21","2;2;6","",""
74,1058,"wg",,,,,,"7/1/21","NA;NA;NA","",""
74,1071,"by",,,,,,"7/1/21","2;9;5","","1 empty calyx"
74,1073,"oo",,,,,,"7/1/21","1;3;0","",""
74,1088,"wwb",,,,,,"7/1/21","1;4;0","",""
74,1113,"bo",,,,,,"7/1/21","1;2;8","",""
74,1122,"",,,,,,"7/1/21","1;5;0","",""
74,1129,"bwo",,,,,,"7/1/21","1;5;0","",""
74,1131,"",,,,,,"7/1/21","2;7;6","",""
74,1170,"x",,,,,,"7/1/21","1;6;0","","on boundary; prev missed"
74,1200,"wwg",,,,,,"7/1/21","1;2;4","",""
74,1214,"rrr",,,,,,"7/1/21","1;2;6","","possible dupe; chewed up tag found in here"
74,1223,"rob",,,,,,"7/1/21","1;0;10","",""
74,1227,"",,,,,,"7/1/21","1;2;0","q","tag found u; tp is og"
74,1229,"gy",,,,,,"7/1/21","1;1;0","","possible dupe; chewed up tag found in here"
74,1233,"www",,,,,,"7/1/21","4;13;5","",""
74,1258,"ro",,,,,,"7/1/21","1;0;4","",""
74,1281,"x",,,,,,"7/1/21","NA;NA;NA","","can't find"
74,1297,"ww",,,,,,"7/1/21","2;8;6","",""
75,1079,"b",,,,,,"7/1/21","1;4;0","",""
75,1174,"r",,,,,,"7/1/21","0;0;0","","yv"
76,1010,"rr",,,,,,"7/1/21","0;0;0","","yv"
76,1013,"b",,,,,,"7/1/21","1;8;0","",""
76,1077,"bo",,,,,,"7/1/21","0;0;0","","yv"
76,1094,"ww",,,,,,"7/1/21","1;1;0","",""
76,1119,"rg",,,,,,"7/1/21","1;2;0","",""
76,1125,"oo",,,,,,"7/1/21","0;0;0","","yv"
76,1206,"",,,,,,"7/1/21","1;2;0","c","yv; check TP"
76,1284,"wb",,,,,,"7/1/21","1;3;1","",""
79,1283,"bo",,,,,,"7/1/21","1;2;1","",""
